period,A_align,D_deviation,REV_loan_re
2019-07,-0.24787216608903942,0.3760308763266908,0.7349492221531472
2019-08,-0.23880469128341372,0.6348023465431542,0.9274576034273595
2019-09,0.014647627871429541,0.38462424734433065,1.0110292993491696
2019-10,-0.11402723115034269,0.24965557187137263,0.7675703915450609
2019-11,-0.11389726516385036,0.3281851023629107,0.7705567411847309
2019-12,0.15318936258912405,0.05518417489833091,0.14186395383821973
2020-01,0.23302757227061804,0.015098926907749964,0.0018439661428918507
2020-02,0.2209866625292557,0.02926640769263272,0.003170202127584921
2020-03,0.32201909674068613,1.03317485740301,0.0
2020-04,0.2674544179914045,0.10312571787146564,0.15650055217026448
2020-05,0.44725073361963685,0.06949691011626634,0.22310730114877667
2020-06,1.1283507198004976,0.008119147455127214,0.0
2020-07,1.0162843011743588,0.015317505928512089,0.0
2020-08,0.6851553384987,0.01215045361313824,0.0
2020-09,0.4635068914688547,0.013213939658394206,0.0
2020-10,0.40778950889980065,0.06544741805049686,0.09002481226078438
2020-11,0.7275602221610384,0.018674436118761677,0.0
2020-12,0.6827139078811925,0.3247860835575771,0.0
2021-01,0.8568024008279903,0.1487705959453935,0.0
2021-02,0.3191739280378428,0.07750451926091582,0.1179490995532956
2021-03,0.011381303498779145,0.15005091281397936,0.2368232477507804
2021-04,-0.2943284012402817,0.296497901959639,0.2889749874206732
2021-05,0.059037293554408524,0.3351826859976646,0.28837821238512795
2021-06,0.11297302138053697,0.2060525001127397,0.18908820869925744
2021-07,-0.20790623806207487,0.3776657100240447,0.41336841781119127
2021-08,-0.4516288731936744,0.5658305068114732,1.2790771451369147
2021-09,-0.19510144026026416,0.26850540006747187,0.49122080970868254
2021-10,0.0001144611311833029,0.46652285129304705,0.839933486121495
2021-11,-0.00864257467647178,0.35332194516515836,0.4769732636674152
2021-12,-0.07526546046566956,0.3046293690092035,0.24517492062778284
2022-01,-0.16425540132699198,0.4714939232830286,0.543638929119443
2022-02,-0.07362658619223711,0.3079892045053891,0.2891547741960198
2022-03,-0.18059348698916966,0.34405857976205223,0.4377775557841854
2022-04,-0.07925614634399539,0.33130332042510846,0.3129657190520919
2022-05,0.17357446426778356,0.17569534327108635,0.5398869514879693
2022-06,0.3934034858753506,0.45971801564215203,0.8591815030803815
2022-07,0.6378540776170009,0.3030793825687292,0.6852001852125499
2022-08,0.19927000022560187,0.11259784840223244,0.20175281048211335
2022-09,0.45711138252321687,0.16449898634924293,0.2858730766747065
2022-10,1.1975400414276243,0.6054233205131178,1.9184365892919657
2022-11,0.5673250783752274,0.3537936090509713,1.1998117398319894
2022-12,0.24279438484027452,0.23441293607195474,0.9461277510569616
2023-01,-0.07307148491980137,0.3832642508411606,1.5776060158797884
2023-02,-0.0595454597475529,0.32194761852442944,1.05573259923679
2023-03,-0.11273440529469174,0.5021109828921692,1.4606653689582458
2023-04,-0.07242596929034698,0.2212681917263396,0.6062584832588733
2023-05,-0.12192557880336151,0.3501860591657778,1.1510652601802915
2023-06,-0.041902163887506255,0.281605174907372,0.8912116269368113
2023-07,0.06059837410336783,0.2133603153466961,0.5083069964399255
2023-08,-0.027871395128252933,0.20882042705578974,0.38785251000542037
2023-09,0.0320613497221078,0.11943330844067047,0.21956631643783586
2023-10,0.0897330533429478,0.1573043344212791,0.5062111538269154
2023-11,0.30264046485430157,0.1072138398952887,0.3540544600144853
2023-12,0.19786761998933008,0.1026624633771238,0.3156623172426622
2024-01,-0.06618983720793797,0.32972116561054826,0.39993502198604786
2024-02,0.03448261879599472,0.0993699763819325,0.21946570465893478
2024-03,0.02671166252295641,0.07576884495421908,0.25015683805273053
